Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0001,28/10/00,Numancia,La Coruna,1,2,A,0.0,2.0,A,,,,,,,,,,,,,
0001,28/10/00,Villarreal,Ath Bilbao,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
0001,28/10/00,Zaragoza,Malaga,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
0001,29/10/00,Celta,Valladolid,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
0001,29/10/00,Espanol,Oviedo,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,29/10/00,Osasuna,Valencia,1,2,A,1.0,1.0,D,,,,,,,,,,,,,
0001,29/10/00,Sociedad,Real Madrid,1,4,A,0.0,2.0,A,,,,,,,,,,,,,
0001,29/10/00,Vallecano,Alaves,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
0001,31/10/00,La Coruna,Las Palmas,4,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,01/11/00,Alaves,Sociedad,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
0001,01/11/00,Ath Bilbao,Zaragoza,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
0001,01/11/00,Barcelona,Numancia,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
0001,01/11/00,Malaga,Osasuna,3,1,H,2.0,1.0,H,,,,,,,,,,,,,
0001,01/11/00,Oviedo,Vallecano,4,1,H,2.0,1.0,H,,,,,,,,,,,,,
0001,01/11/00,Real Madrid,Mallorca,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
0001,01/11/00,Santander,Villarreal,3,1,H,2.0,0.0,H,,,,,,,,,,,,,
0001,01/11/00,Valencia,Celta,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,01/11/00,Valladolid,Espanol,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
0001,04/11/00,Celta,Malaga,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,04/11/00,Espanol,Valencia,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,04/11/00,Las Palmas,Barcelona,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
0001,04/11/00,Numancia,Real Madrid,3,1,H,2.0,1.0,H,,,,,,,,,,,,,
0001,04/11/00,Villarreal,La Coruna,3,2,H,1.0,1.0,D,,,,,,,,,,,,,
0001,05/11/00,Alaves,Oviedo,4,0,H,2.0,0.0,H,,,,,,,,,,,,,
0001,05/11/00,Osasuna,Ath Bilbao,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
0001,05/11/00,Sociedad,Mallorca,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
0001,05/11/00,Vallecano,Valladolid,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
0001,05/11/00,Zaragoza,Santander,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,11/11/00,La Coruna,Zaragoza,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
